child_id,name,min,s,time,zem,cat,brush,tima,gimo,ball,manu,car,utterance,clip_cor,image_path
XS_0801,ball,0,2.0,2.0,1.0,,,,,,,,you're patting that ball.,NA,NA
XS_0801,ball,1,26.8,86.8,,,,,,,,,you just like the ball huh?,NA,NA
XS_0801,ball,2,9.3,129.3,,,,,,,,,roll that ball to me.,NA,NA
XS_0801,gimo,3,9.8,189.8,,,,,,,,,here's a gimo and a cat.,NA,NA
XS_0801,cat,3,10.9,190.9,,,,,,,,,,NA,NA
XS_0801,gimo,3,30.7,210.7,,1.0,,,,,,,gimo and cat.,0.26196199655532837,/data/yinzi/xs_face/frames_full_working/XS_0801/210.7/pos/000006.jpg
XS_0801,cat,3,31.1,211.1,,,,,,,,,,NA,NA
XS_0801,gimo,3,33.2,213.2,,,,,,,,,that's the gimo.,0.22523871064186096,/data/yinzi/xs_face/frames_full_working/XS_0801/213.2/pos/000049.jpg
XS_0801,gimo,3,35.4,215.4,,,,,,,,,gimo.,NA,NA
XS_0801,cat,3,52.4,232.4,,,,,,,,,look at the cat.,NA,NA
XS_0801,cat,3,54.6,234.6,,,,,,,,,let's play with the kitty cat.,NA,NA
XS_0801,cat,4,28.7,268.7,,,,,,,,,you don't like your cat?,NA,NA
XS_0801,tima,5,2.1,302.1,,,1.0,1.0,,,,,that's a tima.,0.22719036042690277,/data/yinzi/xs_face/frames_full_working/XS_0801/302.1/pos/000071.jpg
XS_0801,brush,5,7.3,307.3,,,,,,,,,and that's the brush.,0.25182586908340454,/data/yinzi/xs_face/frames_full_working/XS_0801/307.3/pos/000006.jpg
XS_0801,brush,5,28.1,328.1,,,1.0,1.0,,,,,brush.,0.24841445684432983,/data/yinzi/xs_face/frames_full_working/XS_0801/328.1/pos/000066.jpg
XS_0801,tima,5,30.0,330.0,,,,1.0,,,,,against the tima.,NA,NA
XS_0801,tima,7,35.8,455.8,,,,,,,,,tima.,NA,NA
XS_0801,tima,7,36.9,456.9,,,,1.0,,,,,tima,0.23518523573875427,/data/yinzi/xs_face/frames_full_working/XS_0801/456.9/pos/000071.jpg
XS_0801,cat,10,44.1,644.1,,1.0,,,1.0,,,,kitty cat.,0.24392250180244446,/data/yinzi/xs_face/frames_full_working/XS_0801/644.1/pos/000078.jpg
XS_0801,gimo,10,49.4,649.4,,1.0,,,,,,,gimo.,0.26455551385879517,/data/yinzi/xs_face/frames_full_working/XS_0801/649.4/pos/000006.jpg
XS_0801,cat,11,46.3,706.3,,1.0,,,,,,,get that kitty cat.,0.2702822983264923,/data/yinzi/xs_face/frames_full_working/XS_0801/706.3/pos/000006.jpg
XS_0801,cat,12,48.1,768.1,,1.0,,,,,,,what about the kitty cat?,0.2651798129081726,/data/yinzi/xs_face/frames_full_working/XS_0801/768.1/pos/000071.jpg
XS_0801,cat,13,5.4,785.4,,1.0,,,,,,,kitty cat.,0.2671896517276764,/data/yinzi/xs_face/frames_full_working/XS_0801/785.4/pos/000071.jpg
XS_0801,cat,13,11.0,791.0,,,,,,,,,kitty cat whiskers.,NA,NA
XS_0801,cat,13,28.2,808.2,,,,,,,,,you got the kitty cat.,NA,NA
XS_0803,cat,7,26.0,446.0,,1.0,,,,,,,you wanna play with the kitty cat?,NA,NA
XS_0803,cat,9,49.5,589.5,,,,,,,,,you want the kitty cat?,0.2325669527053833,/data/yinzi/xs_face/frames_full_working/XS_0803/589.5/pos/000038.jpg
XS_0803,cat,10,6.5,606.5,,,,,,,,,kitty cat?,NA,NA
XS_0803,cat,10,8.4,608.4,,,,,,,,,kitty cat.,NA,NA
XS_0803,cat,10,16.1,616.1,,,,,,,,,[xxx] kitty cat.,NA,NA
XS_0805,gimo,0,37.3,37.3,,,,,,,,,that's a gimo.,NA,NA
XS_0805,brush,1,10.4,70.4,,,,,,,,,that's a brush.,NA,NA
XS_0805,zem,1,39.7,99.7,,,,,,,,,that's called a zem.,NA,NA
XS_0805,zem,1,43.5,103.5,,,,,,,,,that's called a zem.,NA,NA
XS_0805,brush,1,53.6,113.6,,,,,,,,,you like that brush huh?,NA,NA
XS_0805,zem,3,12.7,192.7,,,,,,,,,that's called a zem.,NA,NA
XS_0805,zem,3,14.8,194.8,,,,,,,,,zem.,NA,NA
XS_0805,ball,3,40.9,220.9,,,,,,,,,is that a ball?,NA,NA
XS_0805,ball,3,43.8,223.8,1.0,,,,,,,,is that a ball?,NA,NA
XS_0805,ball,3,47.3,227.3,,,,,,,,,say ball.,NA,NA
XS_0805,ball,4,3.3,243.3,,,,,,1.0,,,say ball.,0.294832319021225,/data/yinzi/xs_face/frames_full_working/XS_0805/243.3/pos/000032.jpg
XS_0805,ball,4,11.3,251.3,,,,,,1.0,,,the ball rolled away.,NA,NA
XS_0805,ball,4,13.9,253.9,,,,,,1.0,,,the ball rolled away.,0.24466580152511597,/data/yinzi/xs_face/frames_full_working/XS_0805/253.9/pos/000078.jpg
XS_0805,brush,4,39.6,279.6,,,,,,,,,we haven't seen a brush for a while.,NA,NA
XS_0805,brush,4,42.5,282.5,,,1.0,,,,,,want to see the brush?,0.24367770552635193,/data/yinzi/xs_face/frames_full_working/XS_0805/282.5/pos/000049.jpg
XS_0805,brush,5,16.4,316.4,,,,,,,,,that's a brush.,NA,NA
XS_0805,brush,5,19.3,319.3,,,,,,,,,say brush.,NA,NA
XS_0805,cat,5,24.8,324.8,,,,,,1.0,,,here comes the kitty cat again.,NA,NA
XS_0805,ball,5,35.3,335.3,,,,,,,,,ball.,NA,NA
XS_0805,ball,5,38.9,338.9,,,,,,,,,is that a ball?,NA,NA
XS_0805,ball,10,34.1,634.1,,,,,,,,,Lorali do you know where the ball is?,NA,NA
XS_0805,ball,10,37.3,637.3,,,,,,,,,where's the ball?,NA,NA
XS_0805,ball,10,40.7,640.7,,,,,,1.0,,,can you get the ball?,NA,NA
XS_0805,zem,11,53.3,713.3,,,,,,,,,that's a zem.,0.21718217432498932,/data/yinzi/xs_face/frames_full_working/XS_0805/713.3/pos/000006.jpg
XS_0805,zem,11,55.8,715.8,,,,,,,,,you get the zem.,NA,NA
XS_0805,ball,12,7.1,727.1,,,,,,,,,where's the ball?,NA,NA
XS_0805,ball,12,8.9,728.9,,,,,,,,,where's the ball?,NA,NA
XS_0805,ball,12,11.6,731.6,,,,,,,,,Lorali where's the ball?,NA,NA
XS_0805,ball,12,14.1,734.1,,,,,,,,,where's the ball?,NA,NA
XS_0805,ball,12,15.3,735.3,,,,,,,,,is that the ball over there?,NA,NA
XS_0805,ball,12,18.7,738.7,,,,,,,,,is that the ball over there?,NA,NA
XS_0805,ball,12,20.2,740.2,,,,,,1.0,,,where's the ball?,NA,NA
XS_0805,ball,12,21.6,741.6,,,,,,1.0,,,can you get the ball?,NA,NA
XS_0805,ball,12,28.9,748.9,,,,,,1.0,,,can you get the ball?,NA,NA
XS_0805,brush,13,10.0,790.0,,,1.0,,,,,,you want a brush?,NA,NA
XS_0805,gimo,13,24.3,804.3,,,,,,,,,that's a gimo.,NA,NA
XS_0805,gimo,13,25.3,805.3,,,,,,,,,a geo gimo.,NA,NA
XS_0805,gimo,13,25.8,805.8,,,,,,,,,that's a gimo.,NA,NA
XS_0805,gimo,13,29.1,809.1,,,,,,,,,that's a gimo.,NA,NA
XS_0805,gimo,14,9.2,849.2,,,,,,,,,a gimo.,NA,NA
XS_0805,ball,14,21.9,861.9,,,,,,1.0,,,where's the ball?,NA,NA
XS_0805,ball,14,23.3,863.3,,,,,,1.0,,,where's the ball?,NA,NA
XS_0805,ball,14,26.0,866.0,,,,,1.0,,,,Lorali where's the ball?,NA,NA
XS_0805,ball,14,27.5,867.5,,,,,,1.0,,,where's the ball?,NA,NA
XS_0805,ball,14,28.2,868.2,,,,,,1.0,,,can you get the ball?,NA,NA
XS_0807,ball,0,2.2,2.2,,,,,,,,,ball.,NA,NA
XS_0807,zem,0,15.4,15.4,,,,,,,,,how about how about the zem?,NA,NA
XS_0807,zem,0,16.4,16.4,,,,,,,,,you like the zem?,NA,NA
XS_0807,zem,0,21.0,21.0,,,,,,,,,that's called a zem.,NA,NA
XS_0807,zem,0,23.4,23.4,,,,,,,,,zem.,NA,NA
XS_0807,ball,0,27.0,27.0,,,,,,,,,you like the ball?,NA,NA
XS_0807,ball,0,28.3,28.3,,,,,,,,,where's the ball?,NA,NA
XS_0807,ball,0,35.4,35.4,,,,,,,,,want the ball or the zem?,NA,NA
XS_0807,zem,0,36.0,36.0,,,,,,,,,,NA,NA
XS_0807,ball,0,40.4,40.4,,,,,,,,,ball or the zem?,NA,NA
XS_0807,zem,0,40.8,40.8,,,,,,,,,,NA,NA
XS_0807,zem,0,41.4,41.4,,,,,,,,,the zem?,NA,NA
XS_0807,zem,0,43.8,43.8,,,,,,,,,that's the zem.,NA,NA
XS_0807,ball,0,49.1,49.1,,,,,,,,,how about the ball?,NA,NA
