child_id,name,min,s,time,zem,cat,brush,tima,gimo,ball,manu,car,utterance
XS_0801,ball,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,you're patting that ball.
XS_0801,ball,1,26.8,86.8,NA,NA,NA,NA,NA,NA,NA,NA,you just like the ball huh?
XS_0801,ball,2,9.3,129.3,NA,NA,NA,NA,NA,NA,NA,NA,roll that ball to me.
XS_0801,gimo,3,9.8,189.8,NA,NA,NA,NA,NA,NA,NA,NA,here's a gimo and a cat.
XS_0801,cat,3,10.9,190.9,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0801,gimo,3,30.7,210.7,NA,1,NA,NA,NA,NA,NA,NA,gimo and cat.
XS_0801,cat,3,31.1,211.1,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0801,gimo,3,33.2,213.2,NA,NA,NA,NA,NA,NA,NA,NA,that's the gimo.
XS_0801,gimo,3,35.4,215.4,NA,NA,NA,NA,NA,NA,NA,NA,gimo.
XS_0801,cat,3,52.4,232.4,NA,NA,NA,NA,NA,NA,NA,NA,look at the cat.
XS_0801,cat,3,54.6,234.6,NA,NA,NA,NA,NA,NA,NA,NA,let's play with the kitty cat.
XS_0801,cat,4,28.7,268.7,NA,NA,NA,NA,NA,NA,NA,NA,you don't like your cat?
XS_0801,tima,5,2.1,302.1,NA,NA,1,1,NA,NA,NA,NA,that's a tima.
XS_0801,brush,5,7.3,307.3,NA,NA,NA,NA,NA,NA,NA,NA,and that's the brush.
XS_0801,brush,5,28.1,328.1,NA,NA,1,1,NA,NA,NA,NA,brush.
XS_0801,tima,5,30,330,NA,NA,NA,1,NA,NA,NA,NA,against the tima.
XS_0801,tima,7,35.8,455.8,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0801,tima,7,36.9,456.9,NA,NA,NA,1,NA,NA,NA,NA,tima
XS_0801,cat,10,44.1,644.1,NA,1,NA,NA,1,NA,NA,NA,kitty cat.
XS_0801,gimo,10,49.4,649.4,NA,1,NA,NA,NA,NA,NA,NA,gimo.
XS_0801,cat,11,46.3,706.3,NA,1,NA,NA,NA,NA,NA,NA,get that kitty cat.
XS_0801,cat,12,48.1,768.1,NA,1,NA,NA,NA,NA,NA,NA,what about the kitty cat?
XS_0801,cat,13,5.4,785.4,NA,1,NA,NA,NA,NA,NA,NA,kitty cat.
XS_0801,cat,13,11,791,NA,NA,NA,NA,NA,NA,NA,NA,kitty cat whiskers.
XS_0801,cat,13,28.2,808.2,NA,NA,NA,NA,NA,NA,NA,NA,you got the kitty cat.
XS_0803,cat,7,26,446,NA,1,NA,NA,NA,NA,NA,NA,you wanna play with the kitty cat?
XS_0803,cat,9,49.5,589.5,NA,NA,NA,NA,NA,NA,NA,NA,you want the kitty cat?
XS_0803,cat,10,6.5,606.5,NA,NA,NA,NA,NA,NA,NA,NA,kitty cat?
XS_0803,cat,10,8.4,608.4,NA,NA,NA,NA,NA,NA,NA,NA,kitty cat.
XS_0803,cat,10,16.1,616.1,NA,NA,NA,NA,NA,NA,NA,NA,[xxx] kitty cat.
XS_0805,gimo,0,37.3,37.3,NA,NA,NA,NA,NA,NA,NA,NA,that's a gimo.
XS_0805,brush,1,10.4,70.4,NA,NA,NA,NA,NA,NA,NA,NA,that's a brush.
XS_0805,zem,1,39.7,99.7,NA,NA,NA,NA,NA,NA,NA,NA,that's called a zem.
XS_0805,zem,1,43.5,103.5,NA,NA,NA,NA,NA,NA,NA,NA,that's called a zem.
XS_0805,brush,1,53.6,113.6,NA,NA,NA,NA,NA,NA,NA,NA,you like that brush huh?
XS_0805,zem,3,12.7,192.7,NA,NA,NA,NA,NA,NA,NA,NA,that's called a zem.
XS_0805,zem,3,14.8,194.8,NA,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0805,ball,3,40.9,220.9,NA,NA,NA,NA,NA,NA,NA,NA,is that a ball?
XS_0805,ball,3,43.8,223.8,1,NA,NA,NA,NA,NA,NA,NA,is that a ball?
XS_0805,ball,3,47.3,227.3,NA,NA,NA,NA,NA,NA,NA,NA,say ball.
XS_0805,ball,4,3.3,243.3,NA,NA,NA,NA,NA,1,NA,NA,say ball.
XS_0805,ball,4,11.3,251.3,NA,NA,NA,NA,NA,1,NA,NA,the ball rolled away.
XS_0805,ball,4,13.9,253.9,NA,NA,NA,NA,NA,1,NA,NA,the ball rolled away.
XS_0805,brush,4,39.6,279.6,NA,NA,NA,NA,NA,NA,NA,NA,we haven't seen a brush for a while.
XS_0805,brush,4,42.5,282.5,NA,NA,1,NA,NA,NA,NA,NA,want to see the brush?
XS_0805,brush,5,16.4,316.4,NA,NA,NA,NA,NA,NA,NA,NA,that's a brush.
XS_0805,brush,5,19.3,319.3,NA,NA,NA,NA,NA,NA,NA,NA,say brush.
XS_0805,cat,5,24.8,324.8,NA,NA,NA,NA,NA,1,NA,NA,here comes the kitty cat again.
XS_0805,ball,5,35.3,335.3,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0805,ball,5,38.9,338.9,NA,NA,NA,NA,NA,NA,NA,NA,is that a ball?
XS_0805,ball,10,34.1,634.1,NA,NA,NA,NA,NA,NA,NA,NA,Lorali do you know where the ball is?
XS_0805,ball,10,37.3,637.3,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0805,ball,10,40.7,640.7,NA,NA,NA,NA,NA,1,NA,NA,can you get the ball?
XS_0805,zem,11,53.3,713.3,NA,NA,NA,NA,NA,NA,NA,NA,that's a zem.
XS_0805,zem,11,55.8,715.8,NA,NA,NA,NA,NA,NA,NA,NA,you get the zem.
XS_0805,ball,12,7.1,727.1,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0805,ball,12,8.9,728.9,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0805,ball,12,11.6,731.6,NA,NA,NA,NA,NA,NA,NA,NA,Lorali where's the ball?
XS_0805,ball,12,14.1,734.1,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0805,ball,12,15.3,735.3,NA,NA,NA,NA,NA,NA,NA,NA,is that the ball over there?
XS_0805,ball,12,18.7,738.7,NA,NA,NA,NA,NA,NA,NA,NA,is that the ball over there?
XS_0805,ball,12,20.2,740.2,NA,NA,NA,NA,NA,1,NA,NA,where's the ball?
XS_0805,ball,12,21.6,741.6,NA,NA,NA,NA,NA,1,NA,NA,can you get the ball?
XS_0805,ball,12,28.9,748.9,NA,NA,NA,NA,NA,1,NA,NA,can you get the ball?
XS_0805,brush,13,10,790,NA,NA,1,NA,NA,NA,NA,NA,you want a brush?
XS_0805,gimo,13,24.3,804.3,NA,NA,NA,NA,NA,NA,NA,NA,that's a gimo.
XS_0805,gimo,13,25.3,805.3,NA,NA,NA,NA,NA,NA,NA,NA,a geo gimo.
XS_0805,gimo,13,25.8,805.8,NA,NA,NA,NA,NA,NA,NA,NA,that's a gimo.
XS_0805,gimo,13,29.1,809.1,NA,NA,NA,NA,NA,NA,NA,NA,that's a gimo.
XS_0805,gimo,14,9.2,849.2,NA,NA,NA,NA,NA,NA,NA,NA,a gimo.
XS_0805,ball,14,21.9,861.9,NA,NA,NA,NA,NA,1,NA,NA,where's the ball?
XS_0805,ball,14,23.3,863.3,NA,NA,NA,NA,NA,1,NA,NA,where's the ball?
XS_0805,ball,14,26,866,NA,NA,NA,NA,1,NA,NA,NA,Lorali where's the ball?
XS_0805,ball,14,27.5,867.5,NA,NA,NA,NA,NA,1,NA,NA,where's the ball?
XS_0805,ball,14,28.2,868.2,NA,NA,NA,NA,NA,1,NA,NA,can you get the ball?
XS_0807,ball,0,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0807,zem,0,15.4,15.4,NA,NA,NA,NA,NA,NA,NA,NA,how about how about the zem?
XS_0807,zem,0,16.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,you like the zem?
XS_0807,zem,0,21,21,NA,NA,NA,NA,NA,NA,NA,NA,that's called a zem.
XS_0807,zem,0,23.4,23.4,NA,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0807,ball,0,27,27,NA,NA,NA,NA,NA,NA,NA,NA,you like the ball?
XS_0807,ball,0,28.3,28.3,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0807,ball,0,35.4,35.4,NA,NA,NA,NA,NA,NA,NA,NA,want the ball or the zem?
XS_0807,zem,0,36,36,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,ball,0,40.4,40.4,NA,NA,NA,NA,NA,NA,NA,NA,ball or the zem?
XS_0807,zem,0,40.8,40.8,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,zem,0,41.4,41.4,NA,NA,NA,NA,NA,NA,NA,NA,the zem?
XS_0807,zem,0,43.8,43.8,NA,NA,NA,NA,NA,NA,NA,NA,that's the zem.
XS_0807,ball,0,49.1,49.1,NA,NA,NA,NA,NA,NA,NA,NA,how about the ball?
XS_0807,ball,0,50,50,NA,NA,NA,NA,NA,NA,NA,NA,you want the ball?
XS_0807,ball,0,53.6,53.6,NA,NA,NA,NA,NA,1,NA,NA,can you bounce the ball?
XS_0807,ball,0,57,57,NA,NA,NA,NA,NA,NA,NA,NA,do you like to roll the ball?
XS_0807,ball,1,0.3,60.3,NA,NA,NA,NA,NA,NA,NA,NA,you like to roll the ball?
XS_0807,ball,1,6,66,NA,NA,NA,NA,NA,NA,NA,NA,how's that ball tasting?
XS_0807,zem,1,12,72,NA,NA,NA,NA,NA,NA,NA,NA,you see the zem?
XS_0807,zem,1,16.9,76.9,NA,NA,NA,NA,NA,NA,NA,NA,you see the zem?
XS_0807,zem,1,19.2,79.2,NA,NA,NA,NA,NA,NA,NA,NA,here's the zem.
XS_0807,ball,1,26.7,86.7,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0807,ball,1,27.3,87.3,NA,NA,NA,NA,NA,NA,NA,NA,the ball rolls.
XS_0807,zem,1,28.4,88.4,NA,NA,NA,NA,NA,NA,NA,NA,the zem doesn't really roll.
XS_0807,zem,1,44.2,104.2,NA,NA,NA,NA,NA,NA,NA,NA,you want the zem?
XS_0807,ball,1,45.7,105.7,NA,NA,NA,NA,NA,NA,NA,NA,or the ball?
XS_0807,zem,1,51.2,111.2,NA,NA,NA,NA,NA,NA,NA,NA,bored with the zem?
XS_0807,zem,2,1.7,121.7,NA,NA,NA,NA,NA,NA,NA,NA,it's a zem.
XS_0807,car,2,17.3,137.3,NA,NA,NA,NA,NA,NA,NA,NA,here's a car.
XS_0807,car,2,19.8,139.8,NA,NA,NA,NA,NA,NA,NA,NA,you know [xxx] car right?
XS_0807,car,2,21.5,141.5,NA,NA,NA,NA,NA,NA,NA,NA,your brother likes to play cars.
XS_0807,manu,2,36.3,156.3,NA,NA,NA,NA,NA,NA,1,NA,or do you like the the manu?
XS_0807,manu,2,38.4,158.4,NA,NA,NA,NA,NA,NA,1,NA,you like the manu?
XS_0807,manu,2,44.7,164.7,NA,NA,NA,NA,NA,NA,NA,NA,you like the manu?
XS_0807,manu,3,2.5,182.5,NA,NA,NA,NA,NA,NA,NA,NA,it's called a manu.
XS_0807,car,3,29.1,209.1,NA,NA,NA,NA,NA,NA,NA,NA,car?
